Confidence Bin,Lower Bound,Upper Bound,Number of Prefix Predictions,safe_stop,beneficial_continuation,destructive_continuation,futile_continuation
"[0.00, 0.50)",0.0,0.5,128,0.0,0.0,0.0,100.0
"[0.50, 0.60)",0.5,0.6,0,0.0,0.0,0.0,0.0
"[0.60, 0.70)",0.6,0.7,0,0.0,0.0,0.0,0.0
"[0.70, 0.80)",0.7,0.8,0,0.0,0.0,0.0,0.0
"[0.80, 0.90)",0.8,0.9,0,0.0,0.0,0.0,0.0
"[0.90, 0.95)",0.9,0.95,0,0.0,0.0,0.0,0.0
"[0.95, 0.99)",0.95,0.99,0,0.0,0.0,0.0,0.0
"[0.99, 1.00]",0.99,1.0,0,0.0,0.0,0.0,0.0
